comparison_family,left_id,right_id,case_id,source_language,document_id,task_layer,field,comparable_count,exact_match_count,metric_name,metric_status,metric_value,metric_undefined_reason,cohens_kappa_status,cohens_kappa_value,cohens_kappa_undefined_reason
model_vs_reference,issue147-anthropic-cmt-final2-20260627,lincoln:accepted-reference,lincoln,en,lincoln-lyceum-address,interpretation,uncertainty.status,0,0,observed_agreement,undefined,,no comparable observations,undefined,,fewer than two comparable observations
model_vs_reference,issue147-anthropic-cmt-final2-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,cmt,cmt.cluster_id,1,1,observed_agreement,defined,1.0,,undefined,,not applicable to this field type
model_vs_reference,issue147-anthropic-cmt-final2-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,cmt,cmt.conceptual_metaphor,1,0,observed_agreement,defined,0.0,,undefined,,not applicable to this field type
model_vs_reference,issue147-anthropic-cmt-final2-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,cmt,cmt.entailments,1,0,jaccard_overlap,defined,0.0,,undefined,,not applicable to this field type
model_vs_reference,issue147-anthropic-cmt-final2-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,cmt,cmt.source_domain_primary,1,0,observed_agreement,defined,0.0,,undefined,,not applicable to this field type
model_vs_reference,issue147-anthropic-cmt-final2-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,cmt,cmt.source_domain_secondary,1,0,jaccard_overlap,defined,0.0,,undefined,,not applicable to this field type
model_vs_reference,issue147-anthropic-cmt-final2-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,cmt,cmt.target_domain,1,0,observed_agreement,defined,0.0,,undefined,,not applicable to this field type
model_vs_reference,issue147-anthropic-cmt-final2-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,cmt,confidence,1,0,mean_absolute_difference,defined,0.07000000000000006,,undefined,,not applicable to this field type
model_vs_reference,issue147-anthropic-cmt-final2-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,cmt,uncertainty.status,0,0,observed_agreement,undefined,,no comparable observations,undefined,,fewer than two comparable observations
model_vs_reference,issue147-anthropic-cmt-final2-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,identification,confidence,0,0,mean_absolute_difference,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue147-anthropic-cmt-final2-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,identification,identification.basic_meaning,0,0,observed_agreement,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue147-anthropic-cmt-final2-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,identification,identification.boundary_decision,0,0,observed_agreement,undefined,,no comparable observations,undefined,,fewer than two comparable observations
model_vs_reference,issue147-anthropic-cmt-final2-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,identification,identification.boundary_span,0,0,jaccard_overlap,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue147-anthropic-cmt-final2-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,identification,identification.comparison_basis,0,0,observed_agreement,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue147-anthropic-cmt-final2-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,identification,identification.contextual_meaning,0,0,observed_agreement,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue147-anthropic-cmt-final2-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,identification,identification.contrast_explanation,0,0,observed_agreement,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue147-anthropic-cmt-final2-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,identification,identification.decision,0,0,observed_agreement,undefined,,no comparable observations,undefined,,fewer than two comparable observations
model_vs_reference,issue147-anthropic-cmt-final2-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,identification,uncertainty.status,0,0,observed_agreement,undefined,,no comparable observations,undefined,,fewer than two comparable observations
model_vs_reference,issue147-anthropic-cmt-final2-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,interpretation,confidence,0,0,mean_absolute_difference,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue147-anthropic-cmt-final2-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,interpretation,interpretation.absence.displacement_mechanism,0,0,observed_agreement,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue147-anthropic-cmt-final2-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,interpretation,interpretation.absence.expected_presence,0,0,observed_agreement,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue147-anthropic-cmt-final2-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,interpretation,interpretation.absence.possible_absence,0,0,observed_agreement,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue147-anthropic-cmt-final2-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,interpretation,interpretation.absence.status,0,0,observed_agreement,undefined,,no comparable observations,undefined,,fewer than two comparable observations
model_vs_reference,issue147-anthropic-cmt-final2-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,interpretation,interpretation.agency.agents,0,0,jaccard_overlap,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue147-anthropic-cmt-final2-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,interpretation,interpretation.agency.beneficiaries,0,0,jaccard_overlap,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue147-anthropic-cmt-final2-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,interpretation,interpretation.agency.excluded_agents,0,0,jaccard_overlap,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue147-anthropic-cmt-final2-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,interpretation,interpretation.agency.patients,0,0,jaccard_overlap,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue147-anthropic-cmt-final2-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,interpretation,interpretation.agency.sacrificial_subjects,0,0,jaccard_overlap,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_reference,issue147-anthropic-cmt-final2-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,interpretation,interpretation.functions.enemy_as_bringer_of_death,0,0,observed_agreement,undefined,,no comparable observations,undefined,,fewer than two comparable observations
model_vs_reference,issue147-anthropic-cmt-final2-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,interpretation,interpretation.functions.obligatory_frame,0,0,observed_agreement,undefined,,no comparable observations,undefined,,fewer than two comparable observations
model_vs_reference,issue147-anthropic-cmt-final2-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,interpretation,interpretation.functions.purification,0,0,observed_agreement,undefined,,no comparable observations,undefined,,fewer than two comparable observations
model_vs_reference,issue147-anthropic-cmt-final2-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,interpretation,interpretation.functions.sacred_object,0,0,observed_agreement,undefined,,no comparable observations,undefined,,fewer than two comparable observations
model_vs_reference,issue147-anthropic-cmt-final2-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,interpretation,interpretation.functions.sacrificial_body,0,0,observed_agreement,undefined,,no comparable observations,undefined,,fewer than two comparable observations
model_vs_reference,issue147-anthropic-cmt-final2-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,interpretation,interpretation.functions.violence_logic,0,0,observed_agreement,undefined,,no comparable observations,undefined,,fewer than two comparable observations
model_vs_reference,issue147-anthropic-cmt-final2-20260627,lincoln:accepted-reference,lincoln,en,lincoln-second-inaugural,interpretation,uncertainty.status,0,0,observed_agreement,undefined,,no comparable observations,undefined,,fewer than two comparable observations
